,festival,local,direccion,ciudad,provincia,latitude,longitude,fecha_inicio,fecha_fin,duracion,estilo,dia_mes
133,SOM Festival Castelló,Real Club Náutico de Castellón,"Calle Escollera de Pte., s/n",Puerto de Castellón,Castellón,39.970530,0.014745,2023-08-04,2023-08-20,17,"fusion, world music",04-08
134,Boombastic Day Costa del Sol,Marenostrum Fuengirola,,Fuengirola,Málaga,36.524777,-4.628699,2023-08-12,2023-08-12,1,"fusion, world music",12-08
135,Cabaret Festival El Puerto de Santa María,Real Plaza de Toros,"Pl. de Elías Ahuja, s/n",El Puerto de Santa María,Cádiz,36.596787,-6.232767,2023-08-15,2023-08-20,6,"fusion, world music",15-08
136,Rototom Sunsplash,Recinto de Festivales (Benicàssim),"Recinto Festivales, N-340, Km 986,3",Benicàssim,Castellón,40.048249,0.048687,2023-08-16,2023-08-22,7,"fusion, world music",16-08
137,Boombastic Festival Alicante,Área 12,Carrer de Xàtiva,Alicante,Alicante,38.377604,-0.506809,2023-08-17,2023-08-19,3,"fusion, world music",17-08
138,Rabolagartija Festival,Polideportivo Municipal de Villena,"La Solana, s/n",Villena,Alicante,38.631858,-0.846634,2023-08-17,2023-08-19,3,"fusion, world music",17-08
139,Mediterránea Festival,Parc de la Festa,"Carrer Oliva, 3",Gandía,Valencia,38.964906,-0.175695,2023-08-18,2023-08-19,2,"fusion, world music",18-08
140,Festival De La Luz,Boimorto,,Boimorto,A Coruña,43.030538,-8.144152,2023-08-25,2023-08-27,3,"fusion, world music",25-08
141,Noches de la Maestranza,Plaza de Toros de La Maestranza,"P.º de Cristóbal Colón, 12",Sevilla,Sevilla,37.386015,-5.998406,2023-09-01,2023-09-16,16,"fusion, world music",01-09
142,GrimalRock,GrimalRock,,Grimaldo,Cáceres,39.838650,-6.347661,2023-09-02,2023-09-02,1,"fusion, world music",02-09
143,Festival Millenni / 2022,Varias localizaciones,,Barcelona,Barcelona,41.387579,2.175304,2021-10-02,2023-01-13,469,"fusion, world music",02-10
144,Miranda Urban Festival,La Fábrica de Tornillos,"Calle La Rioja, 2",Miranda de Ebro,Burgos,42.682562,-2.942104,2023-02-03,2023-02-04,2,"fusion, world music",03-02
145,Inverfest,Varias localizaciones,,Madrid,Madrid,40.416341,-3.702028,2023-01-06,2023-02-05,31,"fusion, world music",06-01
146,Gazpatxo Rock,Patio Escuelas,"Doctor Manuel Romaní, s/n",Ayora,Valencia,39.061341,-1.062203,2023-02-10,2023-02-11,2,"fusion, world music",10-02
147,40 Minutu Rock,Landako Gunea,"Landako Etorbidea, 6",Durango,Vizcaya,43.171465,-2.630598,2023-02-25,2023-02-25,1,"fusion, world music",25-02
148,Pirata Fallas,Jardines de Viveros,"Carrer de Cavanilles, 1",Valencia,Valencia,39.480593,-0.367742,2023-03-02,2023-03-02,1,"fusion, world music",02-03
149,Granada 100% Mujer,Palacio Quinta Alegre,"Av. de Cervantes, 27",Granada,Granada,37.164002,-3.587776,2023-03-11,2023-03-11,1,"fusion, world music",11-03
150,Live Las Ventas,Plaza de Toros de Las Ventas,"C. de Alcalá, 237",Madrid,Madrid,40.432147,-3.663283,2023-02-04,2023-03-18,43,"fusion, world music",04-02
151,Iboga Rave Madrid,Sala La Riviera,"P.º Bajo de la Virgen del Puerto, S/N",Madrid,Madrid,40.413007,-3.722130,2023-03-18,2023-03-18,1,"fusion, world music",18-03
152,Senior Festival,Plaza de la Música,C.C. las Arenas,Las Palmas de Gran Canaria,Las Palmas,28.129957,-15.450189,2023-03-18,2023-03-19,2,"fusion, world music",18-03
153,Alabordaje Fest,Pabellón De La Cantábrica,"Parque de la Cantábrica, C. la Industria, 45",Astillero,Cantabria,43.398179,-3.817287,2023-03-25,2023-03-25,1,"fusion, world music",25-03
154,Primavera Trompetera,Circuito de Jerez,"Carretera de Arcos-Jerez de la Frontera, Km 10",Jerez de la Frontera,Cádiz,36.709350,-6.034155,2023-03-30,2023-04-01,3,"fusion, world music",30-03
155,Minifestival de Música Independiente,Casino de Hostafrancs,"Carrer del Rector Triadó, 53",Barcelona,Barcelona,41.377831,2.143197,2023-02-25,2023-02-25,1,"indie, pop",25-02
156,Madrid Popfest,Sala Galileo Galilei,"Calle de Galileo, 100",Madrid,Madrid,40.438472,-3.709795,2023-03-03,2023-03-04,2,"indie, pop",03-03
157,Horteralia Madrid,IFEMA,"Av. del Partenón, 5",Madrid,Madrid,40.467845,-3.617305,2023-03-18,2023-03-18,1,"indie, pop",18-03
158,Festival Ochentero Sierra de Cádiz,Plaza de toros cubierta de El Bosque,"Av Diputacion, 2A",El Bosque,Cádiz,36.757664,-5.510910,2023-03-18,2023-03-18,1,"indie, pop",18-03
159,La Noche de Cadena 100 (2023),WiZink Center,"Av. de Felipe II, s/n",Madrid,Madrid,40.423951,-3.671837,2023-03-18,2023-03-18,1,"indie, pop",18-03
160,Polar Sound Festival,Estación de Baqueira-Beret,"Calle Perimetrau, 3",Baqueira,Lleida,42.699753,0.929377,2023-03-24,2023-03-25,2,"indie, pop",24-03
161,B·Series,La Nau,"Carrer d'Àlaba, 30",Barcelona,Barcelona,41.394315,2.197004,2023-02-25,2023-03-31,35,"indie, pop",25-02
162,Festival Strenes,Teatro de Girona,"Plaça del Vi, 1",Girona,Girona,41.982969,2.825133,2023-03-31,2023-05-13,44,"indie, pop",31-03
163,Lets Festival,Sala Salamandra,"Avinguda del Carrilet, 235",L'Hospitalet de Llobregat,Barcelona,41.360169,2.109380,2023-03-03,2023-04-01,30,"indie, pop",03-03
164,Sound Isidro,Varias localizaciones,,Madrid,Madrid,40.412126,-3.697799,2023-04-01,2023-05-31,61,"indie, pop",01-04
165,Indiferente Festival,Palacio de Festivales de Cantabria,C/ Gamazo s/n,Santander,Cantabria,43.462405,-3.789704,2023-04-01,2023-04-01,1,"indie, pop",01-04
166,Sansan Festival,Ciudad de los Festivales,"Carretera N-340, kilómetro 986,300",Benicássim,Castellón,40.048257,0.048913,2023-04-06,2023-04-08,3,"indie, pop",06-04
167,Microsonidos,Varias localizaciones,,Murcia,,37.992050,-1.125357,2023-02-03,2023-04-07,64,"indie, pop",03-02
168,Barcelona Psych Fest,Sala Upload,"Av. Francesc Ferrer i Guàrdia, 13",Barcelona,Barcelona,41.368178,2.146969,2023-04-14,2023-04-15,2,"indie, pop",14-04
169,Los 40 Primavera Pop,WiZink Center,"Av. Felipe II, s/n",Madrid,Madrid,40.423886,-3.671837,2023-04-14,2023-04-14,1,"indie, pop",14-04
170,Gijón Sound Festival,Varias localizaciones,,Gijón,Asturias,43.531407,-5.661221,2023-04-21,2023-04-23,3,"indie, pop",21-04
171,Festes de Primavera L'Hospitalet,La Farga,Av. de Josep Tarradellas i Joan,L'Hospitalet de Llobregat,Barcelona,41.363282,2.104762,2023-04-21,2023-04-22,2,"indie, pop",21-04
172,Las Noches del Malecón,La Fica,"Diseminado Primero Mayo, 19",Murcia,Murcia,37.983784,-1.110520,2023-04-21,2023-09-16,149,"indie, pop",21-04
173,Cruilla de Primavera,Sala Apolo,"Carrer Nou de la Rambla, 113",Barcelona,Barcelona,41.374436,2.169626,2023-03-10,2023-04-22,44,"indie, pop",10-03
174,Vibra Mahou Fest Gijón,Recinto Ferial Luis Adaro,"Paseo Dr. Fleming, 481",Gijón,Asturias,43.538827,-5.636083,2023-04-22,2023-04-22,1,"indie, pop",22-04
175,Festival Al-Andalus,Recinto Piscina Municipal,"Av. la Fuensanta, s/n",Pizarra,Málaga,36.769938,-4.709012,2023-04-22,2023-04-22,1,"indie, pop",22-04
176,Festival Ebroclub,La Fábrica de Tornillos,La Rioja 2,Miranda de Ebro,Burgos,42.682562,-2.942104,2023-04-28,2023-04-29,2,"indie, pop",28-04
177,FiV,Plaza de la Constitución,Plaza de la Constitución,Vilalba,Lugo,43.297679,-7.680838,2023-04-28,2023-04-30,3,"indie, pop",28-04
178,Warm Up Festival,Recinto la Fica,"Diseminado Primero Mayo, 19",Murcia,Murcia,37.983635,-1.109828,2023-04-29,2023-04-30,2,"indie, pop",29-04
179,Hurra Romería,Aceñas de Cabañales,"Plaza Carros, 22",Zamora,Zamora,41.498502,-5.746079,2023-04-29,2023-04-29,1,"indie, pop",29-04
180,VID Festival,Auditorio Municipal,"Av. de los Deportistas, s/n",Daimiel,Ciudad Real,39.075010,-3.604159,2023-04-29,2023-04-29,1,"indie, pop",29-04
181,A la LLum de la Lluna,Monasterio de Sant Miquel dels Reis,"Avinguda de la Constitució, 284",Valencia,Valencia,39.499570,-0.370059,2023-05-05,2023-06-02,29,"indie, pop",05-05
182,Primavera Aspesuena,Auditorio Alfredo Kraus,"Calle Barranco, 44-66",Aspe,Alicante,38.342824,-0.770475,2023-05-06,2023-05-06,1,"indie, pop",06-05
183,Fa Ce La Fest,Exterior Auditorio Gustavo Freire,"Parque da Milagrosa, Av. de A Coruña, s/n",Lugo,Lugo,43.022031,-7.562016,2023-05-11,2023-05-13,3,"indie, pop",11-05
184,Fiestas de Rivas,Auditorio Miguel Ríos,"Paseo Alicia Alonso, s/n",Rivas-Vaciamadrid,Madrid,40.345677,-3.513340,2023-05-11,2023-05-13,3,"indie, pop",11-05
185,Ritmo Festival,Paraje Natural Ermita de los Tres Juanes,,Atarfe,Granada,37.236180,-3.687694,2023-05-12,2023-05-13,2,"indie, pop",12-05
186,Fulanita Fest,Marenostrum Fuengirola,,Fuengirola,Málaga,36.524777,-4.628699,2023-05-13,2023-05-13,1,"indie, pop",13-05
187,Marenostrum Fuengirola,Marenostrum Fuengirola,,Fuengirola,Málaga,36.525226,-4.627776,2023-05-13,2023-08-19,99,"indie, pop",13-05
188,Mallorca Live Festival,Recinto Mallorca Live (Antiguo Aqualand),Carretera Cala Figuera S/N,Calvià,Islas Baleares,39.505018,2.521212,2023-05-18,2023-05-20,3,"indie, pop",18-05
189,Interestelar Sevilla,Centro Andaluz de Arte Contemporáneo,"Avda. Américo Vespucio, 2",Sevilla,Sevilla,37.398801,-6.008062,2023-05-19,2023-05-20,2,"indie, pop",19-05
190,Embassa't,Amfiteatre Parc Catalunya (Sabadell),"Av. d'Andreu Nin, 45",Sabadell,Barcelona,41.551304,2.090359,2023-05-19,2023-05-20,2,"indie, pop",19-05
191,Murmura Festival,Varias ubicaciones,,Alboloduy,Almería,37.032703,-2.620618,2023-05-19,2023-05-21,3,"indie, pop",19-05
192,Esmorga Fest,Praza da Vila,"Rúa Matías López, 38",Sarria,Lugo,42.779311,-7.413465,2023-05-19,2023-05-20,2,"indie, pop",19-05
193,Deleste Festival,Jardins de Vivers,"Carrer de Cavanilles, 1",Valencia,Valencia,39.465383,-0.360789,2023-05-19,2023-05-21,3,"indie, pop",19-05
194,"Oh, See! Fest",Auditorio Municipal de Málaga,"Calle Paquiro, 9",Málaga,Málaga,36.698638,-4.465795,2023-05-26,2023-05-27,2,"indie, pop",26-05
195,Spring Festival,Multiespacio Rabasa,Carrer de Xàtiva,Alicante,Alicante,38.376931,-0.507399,2023-05-26,2023-05-27,2,"indie, pop",26-05
196,Murcia On,Plaza de Toros de Murcia,"Rda. de Garay, 48",Murcia,Murcia,37.985238,-1.122537,2023-05-26,2023-10-14,142,"indie, pop",26-05
197,Guadalajara Vive Fest,Fuente de la Niña,"P.º Francisco Aritmendi, 5",Guadalajara,Guadalajara,40.626722,-3.151904,2023-05-26,2023-05-27,2,"indie, pop",26-05
198,San Miguel Tribu Festival,Jardines de La Parrala,"C. las Infantas, 1",Burgos,Burgos,42.337611,-3.724000,2023-05-26,2023-05-28,3,"indie, pop",26-05
199,Lo Esencial Music Festival,Palacio Vistalegre Arena,"C. de Matilde Hernández, s/n",Madrid,Madrid,40.386043,-3.738613,2023-05-26,2023-05-26,1,"indie, pop",26-05
200,Morrison Fest,Autocine de Madrid,"C. de la Isla de Java, 2",Madrid,Madrid,40.486218,-3.677778,2023-05-27,2023-05-27,1,"indie, pop",27-05
201,Primavera Sound Barcelona,Parc del Fòrum,"Rambla de Prim, 1",Barcelona,Barcelona,41.411192,2.223315,2023-06-01,2023-06-03,3,"indie, pop",01-06
202,Montgorock (MRK Xàbia Festival),Recinto La Fontana,,Xàbia (Jávea),Alicante,38.777940,0.185012,2023-06-02,2023-06-03,2,"indie, pop",02-06
203,Block Party Arganzuela,Explanada Multiusos Madrid Rio,Autop. de Circunvalación M-30,Madrid,Madrid,40.394597,-3.701394,2023-06-03,2023-06-03,1,"indie, pop",03-06
204,Barbeira SeaSon Fest,Parque da Palma,"Av. Ramón y Cajal, 12",Baiona,Pontevedra,42.122004,-8.850654,2023-06-07,2023-06-11,5,"indie, pop",07-06
205,Primavera Sound Madrid,Ciudad del Rock,,Arganda del Rey,Madrid,40.260288,-3.405719,2023-06-08,2023-06-10,3,"indie, pop",08-06
206,Palencia Sonora,Parque del Sotillo,Sotillo de los Canónigos,Palencia,Palencia,42.010974,-4.541514,2023-06-08,2023-06-11,4,"indie, pop",08-06
207,Festival de Les Arts,Ciudad de las Artes y las Ciencias de Valencia,Av. del Profesor López Piñero,Valencia,Valencia,39.455863,-0.355033,2023-06-09,2023-06-10,2,"indie, pop",09-06
208,Sonidos Líquidos - Malvasía Volcánica Weekend,Bodegas La Geria,Carretera de La Geria km.19,La Geria,Las Palmas,28.969307,-13.714773,2023-06-09,2023-06-10,2,"indie, pop",09-06
209,Noches del Botánico,UCM-Real Jardín Botánico Alfonso XIII,"Av. Complutense, s/n, 12",Madrid,Madrid,40.448147,-3.727777,2023-06-09,2023-07-30,52,"indie, pop",09-06
210,Área 12,Multiespacio Rabasa,Carrer de Xàtiva,Alicante,Alicante,38.376940,-0.507410,2023-06-10,2023-09-02,85,"indie, pop",10-06
211,Sónar,Sónar de día - Fira Montjuïc,"Avinguda Rius i Taulet, s/n",Barcelona,Barcelona,41.372491,2.153574,2023-06-15,2023-06-17,3,"indie, pop",15-06
212,O Son do Camiño,Parque Monte Do Gozo,Parque Monte do Gozo,Santiago de Compostela,A Coruña,42.886102,-8.496831,2023-06-15,2023-06-17,3,"indie, pop",15-06
213,Magnífic Fest,"Recinte Firal ""Les Firetes""",Cami Municipal de Grenyana,Lleida,Lleida,41.617861,0.639855,2023-06-15,2023-06-18,4,"indie, pop",15-06
214,Festival De Los Sentidos,Recinto Ferial,Avenida de Castilla-La Mancha 2,La Roda,Albacete,39.201427,-2.156823,2023-06-16,2023-06-18,3,"indie, pop",16-06
215,Es Jardí,Antiguo Aquapark de Càlvia,,Calvià,Islas Baleares,39.505034,2.521191,2023-06-16,2023-08-06,52,"indie, pop",16-06
216,Cosquín Rock España,Marenostrum Fuengirola,"Calle Tartesios, s/n",Fuengirola,Málaga,36.523588,-4.629278,2023-06-17,2023-06-17,1,"indie, pop",17-06
217,Love the 90’s Madrid,IFEMA - Feria de Madrid,"Av. del Partenón, Nº 5",Madrid,Madrid,40.467454,-3.616905,2023-06-17,2023-06-17,1,"indie, pop",17-06
218,El Bosque Sonoro,El Bosque Sonoro,,Mozota,Zaragoza,41.484627,-1.070002,2023-06-17,2023-06-25,9,"indie, pop",17-06
219,101 Music Festival Costa del Sol,Plaza de Toros de la Malagueta,"P.º Reding, 8",Málaga,Málaga,36.720728,-4.410362,2023-06-17,2023-09-02,78,"indie, pop",17-06
220,Starlite Marbella,Auditorio La Cantera de Nagüeles,"Calle Albinoni, s/n",Marbella,Málaga,36.532709,-4.921188,2023-06-21,2023-09-02,74,"indie, pop",21-06
221,Tomavistas,Parque Enrique Tierno Galván,"C. Meneses, 4",Madrid,Madrid,40.390045,-3.683845,2023-06-22,2023-06-24,3,"indie, pop",22-06
222,Antorchas Festival,Recinto Ferial,,Albacete,Albacete,38.996941,-1.868341,2023-06-22,2023-06-24,3,"indie, pop",22-06
223,City Festival Huelva,Parque Alonso Sánchez,"Cta. de la Tres Caídas, 11",Huelva,Huelva,37.258203,-6.947381,2023-06-22,2023-06-24,3,"indie, pop",22-06
224,Mugacu Fest,Ruinas de la Iglesia de San Pedro,"Calle de Navarro Villoslada, 30",Viana,Navarra,42.514739,-2.373436,2023-06-23,2023-06-25,3,"indie, pop",23-06
225,Love the Tuenti's,IFEMA. Feria de Madrid,"Av. Partenón, Nº 5",Madrid,Madrid,40.464254,-3.616390,2023-06-24,2023-06-24,1,"indie, pop",24-06
226,Zorrilla’s Fest,Plaza de la Universidad,,Valladolid,Valladolid,41.652994,-4.722167,2023-06-24,2023-06-24,1,"indie, pop",24-06
227,My Fest Cantabria Infinita,Campos De Sport De El Sardinero,"C/ Real Racing Club, s/n",Santader,Cantabria,43.476328,-3.793290,2023-06-24,2023-06-24,1,"indie, pop",24-06
228,Música en Grande,Campos del Malecón,"Manuel Pondal, s/n",Torrelavega,Cantabria,43.350226,-4.062688,2023-06-28,2023-07-01,4,"indie, pop",28-06
229,Guitar BCN,Varias localizaciones,,Barcelona,Barcelona,41.385566,2.175531,2023-01-27,2023-06-29,154,"indie, pop",27-01
230,Vida Festival,La Masia d’en Cabanyes,Camí Ral,Vilanova i la Geltrú,Barcelona,41.241154,1.715761,2023-06-29,2023-07-01,3,"indie, pop",29-06
231,Observatorio Festival,Auditorio Natural,,Balboa,León,42.706389,-6.923056,2023-06-29,2023-07-01,3,"indie, pop",29-06
232,León Vive Festival,"Campo Hípico Municipal ""El Parque""","P.º el Parque, 8",León,León,42.584180,-5.569317,2023-06-29,2023-06-30,2,"indie, pop",29-06
233,Conexión Valladolid,Antigua Hípica,Carretera de Rueda 232,Pinar de Antequera,Valladolid,41.597723,-4.757922,2023-06-30,2023-07-01,2,"indie, pop",30-06
234,Polifonik Sound,Recinto Ferial de Barbastro,Avda Estación s/n,Barbastro,Huesca,42.032002,0.128556,2023-06-30,2023-07-01,2,"indie, pop",30-06
235,Oasis Sound Festival,Recinto Oasis Sound,Camino pozo de los carneros,La Solana,Ciudad Real,38.933504,-3.265487,2023-06-30,2023-07-01,2,"indie, pop",30-06
236,Ojeando Festival,Ojén,Calle Colegio s/n,Ojén,Málaga,36.565444,-4.855313,2023-06-30,2023-07-01,2,"indie, pop",30-06
237,Vive Nigrán,Campo de fútbol Lourido,"Rúa Lourido Beiramar, 27",Nigrán,Pontevedra,42.124631,-8.821029,2023-06-30,2023-07-01,2,"indie, pop",30-06
238,Vesu Festival,Fábrica de Armas de la Vega,Calle Marcelino Fernández,Oviedo,Asturias,43.365383,-5.837721,2023-06-30,2023-07-02,3,"indie, pop",30-06
239,Festival de la Porta Ferrada,Spai Port,"Z. Port, 1",San Feliu de Guíxols,Girona,41.779609,3.038288,2023-06-30,2023-08-20,52,"indie, pop",30-06
240,Concert Music Festival,Concert Music Festival,Calle Avenida,Chiclana de la Frontera (poblado de Sancti Petri),,36.394005,-6.207314,2023-07-01,2023-08-31,62,"indie, pop",01-07
241,Bahía Sound,Centro Comercial Bahía Sur,"Avda. Caño Herrera, S/N",San Fernando,Cádiz,36.470933,-6.208702,2023-07-01,2023-08-19,50,"indie, pop",01-07
242,Concerts de Vivers,Jardines del Real o Viveros,"Carrer de Cavanilles, 1",Valencia,Valencia,39.480281,-0.367696,2023-07-01,2023-07-23,23,"indie, pop",01-07
243,Espazo Fest,Pazo de Cea,"Camiño de Cea, 1",Nigrán,Pontevedra,42.148642,-8.799620,2023-07-01,2023-08-31,62,"indie, pop",01-07
244,Sotogrande Music Festival,Santa María Polo Club,Autovía del Mediterráneo,Sotogrande,Cádiz,36.294928,-5.282021,2023-07-01,2023-09-15,77,"indie, pop",01-07
245,Cruilla,Parc del Fòrum,"Muelle de la Marina Seca, C/ De la Pau, 12",Sant Adrià de Besòs,Barcelona,41.410693,2.226341,2023-07-05,2023-07-08,4,"indie, pop",05-07
246,Bilbao BBK Live,Kobetamendi,Calle del Monte Cobetas,Bilbao,Vizcaya,43.258276,-2.964163,2023-07-06,2023-07-08,3,"indie, pop",06-07
247,Mad Cool Festival,La Ciudad de la Música,Calle Laguna Dalga,Colonia Marconi (Villaverde),Madrid,40.329834,-3.711200,2023-07-06,2023-07-08,3,"indie, pop",06-07
248,Brisa Festival,Plaza de Toros de la Malagueta,"P.º Reding, 8",Málaga,Málaga,36.720732,-4.410367,2023-07-06,2023-07-22,17,"indie, pop",06-07
249,Planeta Sound,Estadio Municipal Colomán Trabado,"Av. de Asturias, 18",Ponferrada,León,42.554785,-6.600381,2023-07-07,2023-07-09,3,"indie, pop",07-07
250,Cabaret Festival Roquetas de Mar,Plaza de Toros,"Av. de la Aduana, 15",Roquetas de Mar,Almería,36.768180,-2.611721,2023-07-07,2023-08-16,41,"indie, pop",07-07
251,Dale Argentina Fest,Poble Espanyol,"Av. Francesc Ferrer i Guàrdia, 13",Barcelona,Barcelona,41.368822,2.148256,2023-07-07,2023-07-11,5,"indie, pop",07-07
252,Isla Bonita Love Festival,Puerto de Tazacorte,,"['Tazacorte', 'La Palma']",Santa Cruz de Tenerife,28.644423,-17.943800,2023-07-08,2023-07-08,1,"indie, pop",08-07
253,Alma Festival Jardins Pedralbes,Poble Espanyol,"Av. de Francesc Ferrer i Guàrdia, 13",Barcelona,Barcelona,41.368822,2.148256,2023-07-10,2023-07-27,18,"indie, pop",10-07
254,FIB,Benicàssim,"Carretera N-340, kilómetro 986,300",Benicàssim,Castellón,40.048068,0.047872,2023-07-13,2023-07-16,4,"indie, pop",13-07
255,PortAmérica,Fábrica Azucreira de Portas,"Rúa Estacion, 34",Caldas de Reis,Pontevedra,42.590436,-8.655596,2023-07-13,2023-07-15,3,"indie, pop",13-07
256,Fárdelej Festival Rioja Live,Arnedo,,Arnedo,La Rioja,42.225735,-2.102074,2023-07-14,2023-07-15,2,"indie, pop",14-07
257,Cap Roig Festival,Jardí Botànic de Cap Roig,"Camí del Rus, s/n",Calella de Palafrugell,Girona,41.877230,3.177388,2023-07-14,2023-08-19,37,"indie, pop",14-07
258,Barranco Fest,Plaza de Toros de Fitero,"Calle Calatrava, 14",Fitero,Navarra,42.056383,-1.855917,2023-07-20,2023-07-22,3,"indie, pop",20-07
259,No Sin Música,Muelle Ciudad del Puerto de Cádiz,"Av. del Puerto, 307",Cadiz,Cádiz,36.531617,-6.291618,2023-07-21,2023-07-22,2,"indie, pop",21-07
260,Atlantic Fest,Playa de A Concha,,Vilagarcía de Arousa,Pontevedra,42.605071,-8.767744,2023-07-21,2023-07-23,3,"indie, pop",21-07
261,Sinsal Esencial SON Estrella Galicia,Isla de San Simón,,Redondela,Pontevedra,42.307258,-8.628943,2023-07-21,2023-07-23,3,"indie, pop",21-07
262,Sons del Món,Ciutadella de Roses,Av. de Rhode s/n,Roses,Girona,42.265686,3.170543,2023-07-21,2023-08-07,18,"indie, pop",21-07
263,Universal Music Festival,Teatro Real,"Plaza de Isabel II, s/n",Madrid,Madrid,40.418299,-3.710589,2023-07-25,2023-07-30,6,"indie, pop",25-07
264,Nits de Vivers,Jardines del Real o Viveros,"Carrer de Cavanilles, 1",Valencia,Valencia,39.480281,-0.367696,2023-07-26,2023-08-05,11,"indie, pop",26-07
265,Low Festival,Ciudad Deportiva Guillermo Amor,Avenida de la Ciudad Deportiva,Benidorm,Alicante,38.546691,-0.138434,2023-07-28,2023-07-30,3,"indie, pop",28-07
266,Impacto Fest,Las Ventas de Albares,"C. la Corredera, 1",Torre del Bierzo,León,42.603693,-6.391242,2023-07-28,2023-07-30,3,"indie, pop",28-07
267,MoboFest Music Festival,Parc Municipal n'Hereveta,"Camí de Marina, 29",Porreres,Islas Baleares,39.517986,3.020083,2023-07-28,2023-07-29,2,"indie, pop",28-07
268,17º Ribeira Sacra Festival,Parador de Monforte de Lemos,Plaza Luis de Góngora y Argote,Monforte de Lemos,Lugo,42.523862,-7.510486,2023-07-28,2023-07-30,3,"indie, pop",28-07
